PC_ID,UTM_E,UTM_N,n_1,n_2,n_3,n_4,n_5,Year,Study_Area,SA_CAT,County,RavenDensity
BU19,421908,4883810,0,NA,0,0,1,2018,Bully Creek,Bully,Malheur,1.398339748
BU20,435934,4854612,NA,NA,NA,0,NA,2018,Bully Creek,Bully,Malheur,0.665477514
BU21,432775,4864967,0,NA,0,0,0,2018,Bully Creek,Bully,Malheur,1.028948903
BU22,441262,4874370,0,0,0,0,0,2018,Bully Creek,Bully,Malheur,2.166234493
BU23,432775,4864967,0,0,0,0,0,2018,Bully Creek,Bully,Malheur,1.028948903
BU25,438538,4872134,0,0,0,1,0,2018,Bully Creek,Bully,Malheur,1.601320267
BU26,420986,4878835,1,0,0,0,NA,2018,Bully Creek,Bully,Malheur,0.8908903
BU27,418473,4883443,0,NA,0,0,0,2018,Bully Creek,Bully,Malheur,0.868734062
BU28,416735,4879375,0,NA,0,0,NA,2018,Bully Creek,Bully,Malheur,1.09795332
BU30,420861,4869697,0,NA,0,0,0,2018,Bully Creek,Bully,Malheur,1.25777173
BU31,433432,4877886,0,0,0,1,0,2018,Bully Creek,Bully,Malheur,1.345195413
CL01,492231,4779928,0,NA,0,0,0,2018,Cow Lakes,Jordan Valley,Malheur,1.455772161
CL02,488731,4772146,0,NA,1,0,0,2018,Cow Lakes,Jordan Valley,Malheur,3.085929632
CL03,482192,4780950,0,NA,0,1,1,2018,Cow Lakes,Jordan Valley,Malheur,1.469377398
CL04,485856,4766472,0,NA,0,0,0,2018,Cow Lakes,Jordan Valley,Malheur,1.987715006
CL05,478171,4773994,0,NA,0,0,0,2018,Cow Lakes,Jordan Valley,Malheur,2.167989731
CL06,484571,4778067,0,NA,0,0,0,2018,Cow Lakes,Jordan Valley,Malheur,1.763034701
CL09,483837,4774762,1,NA,0,0,0,2018,Cow Lakes,Jordan Valley,Malheur,1.917547703
CL10,490911,4784235,0,NA,0,0,0,2018,Cow Lakes,Jordan Valley,Malheur,0.991272509
CL11,478870,4777744,0,0,0,0,0,2018,Cow Lakes,Jordan Valley,Malheur,1.913151264
CL13,475394,4781152,0,NA,0,0,0,2018,Cow Lakes,Jordan Valley,Malheur,0.84826535
CL14,486276,4763649,0,NA,1,0,0,2018,Cow Lakes,Jordan Valley,Malheur,2.098669767
CL15,476838,4768631,0,NA,0,0,0,2018,Cow Lakes,Jordan Valley,Malheur,2.346460819
CL16,479965,4767148,0,NA,0,0,0,2018,Cow Lakes,Jordan Valley,Malheur,1.842423558
CL17,482205,4770492,0,NA,0,0,0,2018,Cow Lakes,Jordan Valley,Malheur,2.152760983
CL18,476168,4787310,0,NA,0,0,0,2018,Cow Lakes,Jordan Valley,Malheur,0.52702111
CL19,479531,4757028,0,NA,0,0,0,2018,Cow Lakes,Jordan Valley,Malheur,2.404627085
CL20,488046,4779811,0,NA,0,1,0,2018,Cow Lakes,Jordan Valley,Malheur,0.779845953
CL21,469324,4781110,0,NA,0,0,0,2018,Cow Lakes,Jordan Valley,Malheur,1.472528458
CL22,489418,4777240,0,NA,0,0,0,2018,Cow Lakes,Jordan Valley,Malheur,1.222423792
CL23,494200,4776060,1,NA,0,0,0,2018,Cow Lakes,Jordan Valley,Malheur,1.900577068
CR01,419055,4844448,0,NA,0,0,0,2018,Crowley,Bully,Malheur,0.777392328
CR03,419929,4835775,0,0,0,1,0,2018,Crowley,Bully,Malheur,1.513153315
CR04,418476,4826681,NA,0,0,0,0,2018,Crowley,Bully,Malheur,2.003324986
CR06,454029,4832169,0,NA,0,0,NA,2018,Crowley,Bully,Malheur,0.710868299
CR07,444875,4830769,0,0,0,0,0,2018,Crowley,Bully,Malheur,1.308222771
CR11,428866,4832507,0,NA,0,0,NA,2018,Crowley,Bully,Malheur,0.987831771
CR12,418338,4840801,0,NA,1,0,0,2018,Crowley,Bully,Malheur,1.102260113
